index,value
growth,0.0281918
income,0.0266507
expected_total_return,0.0548425
variance,0.005633895
volatility,0.07505928
scenario_hinge,2.265134e-30
worst_scenario_loss,0.1216857
linear_cost,2.88547e-05
impact_cost,2.668239e-05
total_trading_cost,5.553709e-05
gross_turnover,0.2388458
one_way_turnover,0.1194229
concentration,0.0340708
effective_holdings,29.35065
maximum_asset_weight,0.1018977
realized_annual_return,0.09106659
realized_annual_volatility,0.07505928
realized_maximum_drawdown,0.06531141
daily_var_95,0.007173728
daily_cvar_95,0.009468568
path_observations,1260.0
