index,value
growth,0.028985
income,0.025911
expected_total_return,0.054896
variance,0.00618
volatility,0.078614
scenario_hinge,0.000183
worst_scenario_loss,0.127113
linear_cost,1.3e-05
impact_cost,7e-06
total_trading_cost,2e-05
gross_turnover,0.130914
one_way_turnover,0.065457
concentration,0.02965
effective_holdings,33.726738
maximum_asset_weight,0.079749
realized_annual_return,0.091382
realized_annual_volatility,0.078614
realized_maximum_drawdown,0.07112
daily_var_95,0.007412
daily_cvar_95,0.009941
path_observations,1260.0
