rank,bitstring,energy,selected_indices,selected_tickers
1,11111100000,-4.067965043181767,"(0, 1, 2, 3, 4, 5)","SGOV, BIL, SHY, QQQ, VUG, MTUM"
2,11111010000,-4.0356711404597085,"(0, 1, 2, 3, 4, 6)","SGOV, BIL, SHY, QQQ, VUG, SPY"
3,11111000001,-3.991806448405642,"(0, 1, 2, 3, 4, 10)","SGOV, BIL, SHY, QQQ, VUG, USMV"
4,11111001000,-3.9843279734717325,"(0, 1, 2, 3, 4, 7)","SGOV, BIL, SHY, QQQ, VUG, EWC"
5,11111000010,-3.9792363202487357,"(0, 1, 2, 3, 4, 9)","SGOV, BIL, SHY, QQQ, VUG, VGK"
6,11110110000,-3.944264500668221,"(0, 1, 2, 3, 5, 6)","SGOV, BIL, SHY, QQQ, MTUM, SPY"
7,11111000100,-3.9239110557549037,"(0, 1, 2, 3, 4, 8)","SGOV, BIL, SHY, QQQ, VUG, EEM"
8,11110101000,-3.895344542564005,"(0, 1, 2, 3, 5, 7)","SGOV, BIL, SHY, QQQ, MTUM, EWC"
9,11110100001,-3.890602670343683,"(0, 1, 2, 3, 5, 10)","SGOV, BIL, SHY, QQQ, MTUM, USMV"
10,11110100010,-3.884264406844772,"(0, 1, 2, 3, 5, 9)","SGOV, BIL, SHY, QQQ, MTUM, VGK"
11,11110011000,-3.852566886257183,"(0, 1, 2, 3, 6, 7)","SGOV, BIL, SHY, QQQ, SPY, EWC"
12,11110010001,-3.838045840493458,"(0, 1, 2, 3, 6, 10)","SGOV, BIL, SHY, QQQ, SPY, USMV"
13,11110010010,-3.8370380338243644,"(0, 1, 2, 3, 6, 9)","SGOV, BIL, SHY, QQQ, SPY, VGK"
14,11110100100,-3.83357349361463,"(0, 1, 2, 3, 5, 8)","SGOV, BIL, SHY, QQQ, MTUM, EEM"
15,11101110000,-3.802061494437423,"(0, 1, 2, 4, 5, 6)","SGOV, BIL, SHY, VUG, MTUM, SPY"
16,11110001001,-3.793513514219063,"(0, 1, 2, 3, 7, 10)","SGOV, BIL, SHY, QQQ, EWC, USMV"
17,11110001010,-3.790827932255187,"(0, 1, 2, 3, 7, 9)","SGOV, BIL, SHY, QQQ, EWC, VGK"
18,11110010100,-3.790231484650269,"(0, 1, 2, 3, 6, 8)","SGOV, BIL, SHY, QQQ, SPY, EEM"
19,11110000011,-3.7709441935188597,"(0, 1, 2, 3, 9, 10)","SGOV, BIL, SHY, QQQ, VGK, USMV"
20,11101101000,-3.7574500790862837,"(0, 1, 2, 4, 5, 7)","SGOV, BIL, SHY, VUG, MTUM, EWC"
21,11110001100,-3.7425752248808806,"(0, 1, 2, 3, 7, 8)","SGOV, BIL, SHY, QQQ, EWC, EEM"
22,11101100010,-3.7356843736718286,"(0, 1, 2, 4, 5, 9)","SGOV, BIL, SHY, VUG, MTUM, VGK"
23,11110000101,-3.730713518183031,"(0, 1, 2, 3, 8, 10)","SGOV, BIL, SHY, QQQ, EEM, USMV"
24,11101100001,-3.729340727732575,"(0, 1, 2, 4, 5, 10)","SGOV, BIL, SHY, VUG, MTUM, USMV"
25,11110000110,-3.728651358523077,"(0, 1, 2, 3, 8, 9)","SGOV, BIL, SHY, QQQ, EEM, VGK"
26,11101011000,-3.701617183798774,"(0, 1, 2, 4, 6, 7)","SGOV, BIL, SHY, VUG, SPY, EWC"
27,11101100100,-3.694328371741568,"(0, 1, 2, 4, 5, 8)","SGOV, BIL, SHY, VUG, MTUM, EEM"
28,11101010010,-3.675402761670735,"(0, 1, 2, 4, 6, 9)","SGOV, BIL, SHY, VUG, SPY, VGK"
29,11101010001,-3.6637286589016638,"(0, 1, 2, 4, 6, 10)","SGOV, BIL, SHY, VUG, SPY, USMV"
30,11101010100,-3.6379311237965215,"(0, 1, 2, 4, 6, 8)","SGOV, BIL, SHY, VUG, SPY, EEM"
31,11101001010,-3.6335012028546325,"(0, 1, 2, 4, 7, 9)","SGOV, BIL, SHY, VUG, EWC, VGK"
32,11101001001,-3.6235048753803434,"(0, 1, 2, 4, 7, 10)","SGOV, BIL, SHY, VUG, EWC, USMV"
33,11101001100,-3.594583406780208,"(0, 1, 2, 4, 7, 8)","SGOV, BIL, SHY, VUG, EWC, EEM"
34,11101000011,-3.5902499849849185,"(0, 1, 2, 4, 9, 10)","SGOV, BIL, SHY, VUG, VGK, USMV"
35,11100111000,-3.581653006449949,"(0, 1, 2, 5, 6, 7)","SGOV, BIL, SHY, MTUM, SPY, EWC"
36,11101000110,-3.569973970727183,"(0, 1, 2, 4, 8, 9)","SGOV, BIL, SHY, VUG, EEM, VGK"
37,11101000101,-3.5593542209489715,"(0, 1, 2, 4, 8, 10)","SGOV, BIL, SHY, VUG, EEM, USMV"
38,11100110010,-3.549450101825673,"(0, 1, 2, 5, 6, 9)","SGOV, BIL, SHY, MTUM, SPY, VGK"
39,11100110001,-3.531544134398607,"(0, 1, 2, 5, 6, 10)","SGOV, BIL, SHY, MTUM, SPY, USMV"
40,11100110100,-3.516612815215149,"(0, 1, 2, 5, 6, 8)","SGOV, BIL, SHY, MTUM, SPY, EEM"
41,11100101010,-3.5099717518933313,"(0, 1, 2, 5, 7, 9)","SGOV, BIL, SHY, MTUM, EWC, VGK"
42,11100101001,-3.493743559761047,"(0, 1, 2, 5, 7, 10)","SGOV, BIL, SHY, MTUM, EWC, USMV"
43,11100101100,-3.475688307082596,"(0, 1, 2, 5, 7, 8)","SGOV, BIL, SHY, MTUM, EWC, EEM"
44,11100100011,-3.4545001868693856,"(0, 1, 2, 5, 9, 10)","SGOV, BIL, SHY, MTUM, VGK, USMV"
45,11100100110,-3.445090388533335,"(0, 1, 2, 5, 8, 9)","SGOV, BIL, SHY, MTUM, EEM, VGK"
46,11100011010,-3.4392063863074736,"(0, 1, 2, 6, 7, 9)","SGOV, BIL, SHY, SPY, EWC, VGK"
47,11100100101,-3.4282387740971285,"(0, 1, 2, 5, 8, 10)","SGOV, BIL, SHY, MTUM, EEM, USMV"
48,11100011001,-3.4176477373453715,"(0, 1, 2, 6, 7, 10)","SGOV, BIL, SHY, SPY, EWC, USMV"
49,11100011100,-3.4088073055527857,"(0, 1, 2, 6, 7, 8)","SGOV, BIL, SHY, SPY, EWC, EEM"
50,11100010011,-3.373955647740125,"(0, 1, 2, 6, 9, 10)","SGOV, BIL, SHY, SPY, VGK, USMV"
51,11100010110,-3.373760670289939,"(0, 1, 2, 6, 8, 9)","SGOV, BIL, SHY, SPY, EEM, VGK"
52,11100010101,-3.3515785990239153,"(0, 1, 2, 6, 8, 10)","SGOV, BIL, SHY, SPY, EEM, USMV"
53,11100001011,-3.338864929637603,"(0, 1, 2, 7, 9, 10)","SGOV, BIL, SHY, EWC, VGK, USMV"
54,11100001110,-3.335546018692424,"(0, 1, 2, 7, 8, 9)","SGOV, BIL, SHY, EWC, EEM, VGK"
55,11100001101,-3.315041722721182,"(0, 1, 2, 7, 8, 10)","SGOV, BIL, SHY, EWC, EEM, USMV"
56,11100000111,-3.272954619190951,"(0, 1, 2, 8, 9, 10)","SGOV, BIL, SHY, EEM, VGK, USMV"
57,11000110011,-2.244051609161549,"(0, 1, 5, 6, 9, 10)","SGOV, BIL, MTUM, SPY, VGK, USMV"
58,11000011011,-2.2198985145594627,"(0, 1, 6, 7, 9, 10)","SGOV, BIL, SPY, EWC, VGK, USMV"
59,11001010011,-2.1954620097838307,"(0, 1, 4, 6, 9, 10)","SGOV, BIL, VUG, SPY, VGK, USMV"
60,11000010111,-2.1799673388385132,"(0, 1, 6, 8, 9, 10)","SGOV, BIL, SPY, EEM, VGK, USMV"
61,11000111001,-2.1578605340640005,"(0, 1, 5, 6, 7, 10)","SGOV, BIL, MTUM, SPY, EWC, USMV"
62,11000101011,-2.1549048785999227,"(0, 1, 5, 7, 9, 10)","SGOV, BIL, MTUM, EWC, VGK, USMV"
63,11001100011,-2.119984620239527,"(0, 1, 4, 5, 9, 10)","SGOV, BIL, VUG, MTUM, VGK, USMV"
64,11000110101,-2.118334883125785,"(0, 1, 5, 6, 8, 10)","SGOV, BIL, MTUM, SPY, EEM, USMV"
65,11001110001,-2.1176361419125795,"(0, 1, 4, 5, 6, 10)","SGOV, BIL, VUG, MTUM, SPY, USMV"
66,11000100111,-2.1155380555365118,"(0, 1, 5, 8, 9, 10)","SGOV, BIL, MTUM, EEM, VGK, USMV"
67,11001001011,-2.1038920703384445,"(0, 1, 4, 7, 9, 10)","SGOV, BIL, VUG, EWC, VGK, USMV"
68,11001011001,-2.1032824521900455,"(0, 1, 4, 6, 7, 10)","SGOV, BIL, VUG, SPY, EWC, USMV"
69,11000011101,-2.096619994379535,"(0, 1, 6, 7, 8, 10)","SGOV, BIL, SPY, EWC, EEM, USMV"
70,11000001111,-2.0920843066117154,"(0, 1, 7, 8, 9, 10)","SGOV, BIL, EWC, EEM, VGK, USMV"
71,11001000111,-2.0658793785075797,"(0, 1, 4, 8, 9, 10)","SGOV, BIL, VUG, EEM, VGK, USMV"
