ticker,asset_class,current_weight,growth,income,standalone_variance,scenario_rms_loss,linear_cost,impact_diagonal,screening_score,reference_weight,reference_trade,absolute_reference_trade,marginal_direction,marginal_improvement,marginal_counterparty,selection_trade,absolute_selection_trade,trade_materiality,implementation_burden,active_selection_score,selection_objective,qubit_index
SGOV,Cash,0.014292010553148986,0.0131704201691792,0.0350227954372939,6.691430054409665e-05,0.0020586634591635514,6.352469780035311e-05,0.0003185785440274,0.6753307183306981,,,,1,0.002694859843980102,QQQ,0.0025,0.0025,1.0,0.0003821032418277531,0.9997692539270775,incumbent_marginal_utility,0
BIL,Cash,0.01570798944685101,-0.0031704201691792,0.0365606554898437,5.539421310116054e-05,0.0020586634591635514,4.024614522624172e-05,0.000199236871729,0.6317515688894817,,,,1,0.002286343654762435,QQQ,0.002121022787019677,0.002121022787019677,0.8484091148078707,0.00023948301695524173,0.8408535706400126,incumbent_marginal_utility,1
SHY,Government Bonds,0.03401417218841027,0.002037427635375,0.0230407493792292,0.007880531353060395,0.04540820148282425,9.210513619962052e-05,0.0036629532005359,0.5653672565082191,,,,1,0.001763644993778568,QQQ,0.001636119404983414,0.001636119404983414,0.6544477619933656,0.0037550583367355205,0.6360189930252851,incumbent_marginal_utility,2
QQQ,US Equity,0.02056526979580203,0.0536540969805961,0.007453368722941,0.043951880405037225,0.19755650186357177,0.00010560864570650744,0.0050434611416137,0.44852557242429447,,,,-1,0.002694859843980102,SGOV,-0.0025,0.0025,1.0,0.005149069787320207,0.9457083696888884,incumbent_marginal_utility,3
VUG,US Equity,0.0237146693694932,0.0636983658216792,0.0041956297975633,0.03305309523616199,0.18382185993639658,9.689021382087664e-05,0.0034095674698357,0.5167098518802203,,,,-1,0.002369700584290979,SGOV,-0.0021983523462124773,0.0021983523462124773,0.879340938484991,0.0035064576836565764,0.8461894722773275,incumbent_marginal_utility,4
MTUM,US Equity,0.02264526646484746,0.0524917282761025,0.0134105360061077,0.036248614572299095,0.18382185993639658,0.00011356363611144051,0.0048718238670025,0.504093064715462,,,,-1,0.00219606507303427,SGOV,-0.0020372720662448717,0.0020372720662448717,0.8149088264979487,0.00498538750311394,0.7801355203621023,incumbent_marginal_utility,5
SPY,US Equity,0.02484006818786692,0.0568186494783728,0.0132199035734399,0.03012594755920473,0.18382185993639658,9.38776682920863e-05,0.0044513818885576,0.5392266562867111,,,,-1,0.002061310087355106,SGOV,-0.001912260939988913,0.001912260939988913,0.7649043759955652,0.004545259556849686,0.7383012651303499,incumbent_marginal_utility,6
EWC,Developed Equity,0.018943371555776838,0.0354553388441687,0.0245592770894013,0.039992641674200184,0.198949622721312,0.00022542921974849487,0.0137491475854939,0.42776205813464435,,,,-1,0.0021114368158036134,SGOV,-0.0019587631064749388,0.0019587631064749388,0.7835052425899756,0.013974576805242394,0.7264554356982759,incumbent_marginal_utility,7
EEM,Emerging Equity,0.009900533756589511,0.0479370791305054,0.0251964647107309,0.06127502163066073,0.2302069462358556,0.0002570906086187243,0.0178223277646736,0.3619540519523572,,,,-1,0.002083714723567054,SGOV,-0.0019330455424442098,0.0019330455424442098,0.7732182169776839,0.018079418373292324,0.701384008893589,incumbent_marginal_utility,8
VGK,Developed Equity,0.019762409397839617,0.0376112255441818,0.0238987275168053,0.03674640551736451,0.198949622721312,0.00028767386695573144,0.0081915989838213,0.4681630343637573,,,,-1,0.001993893887348386,SGOV,-0.0018497194685304643,0.0018497194685304643,0.7398877874121857,0.008479272850777032,0.6987007465991072,incumbent_marginal_utility,9
USMV,US Equity,0.034463610416225886,0.05112698666308,0.0159055101547507,0.015650374653033997,0.18382185993639658,0.0001015340747439992,0.0041023445897546,0.5899517254704411,,,,-1,0.001867745473763116,SGOV,-0.0017326925906140992,0.0017326925906140992,0.6930770362456397,0.0042038786644986,0.6765391799780158,incumbent_marginal_utility,10
