ticker,asset_class,current_weight,marginal_direction,marginal_improvement,marginal_counterparty,selection_trade,trade_materiality,implementation_burden,active_selection_score,qubit_index
SGOV,Cash,0.014292,1,0.002695,QQQ,0.0025,1.0,0.000382,0.999769,0
QQQ,US Equity,0.020565,-1,0.002695,SGOV,-0.0025,1.0,0.005149,0.945708,3
VUG,US Equity,0.023715,-1,0.00237,SGOV,-0.002198,0.879341,0.003506,0.846189,4
BIL,Cash,0.015708,1,0.002286,QQQ,0.002121,0.848409,0.000239,0.840854,1
MTUM,US Equity,0.022645,-1,0.002196,SGOV,-0.002037,0.814909,0.004985,0.780136,5
SPY,US Equity,0.02484,-1,0.002061,SGOV,-0.001912,0.764904,0.004545,0.738301,6
EWC,Developed Equity,0.018943,-1,0.002111,SGOV,-0.001959,0.783505,0.013975,0.726455,7
EEM,Emerging Equity,0.009901,-1,0.002084,SGOV,-0.001933,0.773218,0.018079,0.701384,8
VGK,Developed Equity,0.019762,-1,0.001994,SGOV,-0.00185,0.739888,0.008479,0.698701,9
USMV,US Equity,0.034464,-1,0.001868,SGOV,-0.001733,0.693077,0.004204,0.676539,10
SHY,Government Bonds,0.034014,1,0.001764,QQQ,0.001636,0.654448,0.003755,0.636019,2
