ticker,reference_trade,absolute_reference_trade,active_selection_score,qubit_index
SGOV,0.06545693,0.06545693,0.9997693,0
VUG,-0.02371467,0.02371467,0.3486356,1
QQQ,-0.02056527,0.02056527,0.2971228,2
MTUM,-0.01117699,0.01117699,0.1634671,3
FXE,-0.005097021,0.005097021,0.07233815,4
UUP,-0.004902979,0.004902979,0.06975765,5
BWX,-8.382184e-15,8.382184e-15,1.265478e-13,6
DBMF,-8.321469e-15,8.321469e-15,1.184874e-13,8
MUB,-8.049117e-15,8.049117e-15,1.200941e-13,7
GLD,-6.671746e-15,6.671746e-15,9.428829e-14,9
SPY,5.467848e-15,5.467848e-15,8.062826e-14,10
