ticker,marginal_direction,marginal_improvement,marginal_counterparty,selection_trade,active_selection_score,qubit_index
SGOV,1,0.002695,QQQ,0.0025,0.999769,0
QQQ,-1,0.002695,SGOV,-0.0025,0.945708,3
VUG,-1,0.00237,SGOV,-0.002198,0.846189,4
BIL,1,0.002286,QQQ,0.002121,0.840854,1
MTUM,-1,0.002196,SGOV,-0.002037,0.780136,5
SPY,-1,0.002061,SGOV,-0.001912,0.738301,6
EWC,-1,0.002111,SGOV,-0.001959,0.726455,7
EEM,-1,0.002084,SGOV,-0.001933,0.701384,8
VGK,-1,0.001994,SGOV,-0.00185,0.698701,9
USMV,-1,0.001868,SGOV,-0.001733,0.676539,10
SHY,1,0.001764,QQQ,0.001636,0.636019,2
