index,bitstring,energy,selected_indices,selected_tickers
0,11111100000,-1.212018,"(0, 1, 2, 3, 4, 5)","SGOV, VUG, QQQ, MTUM, FXE, UUP"
1,11110110000,-1.202969,"(0, 1, 2, 3, 5, 6)","SGOV, VUG, QQQ, MTUM, UUP, BWX"
2,11110101000,-1.202969,"(0, 1, 2, 3, 5, 7)","SGOV, VUG, QQQ, MTUM, UUP, MUB"
3,11110100100,-1.202969,"(0, 1, 2, 3, 5, 8)","SGOV, VUG, QQQ, MTUM, UUP, DBMF"
4,11110100010,-1.202969,"(0, 1, 2, 3, 5, 9)","SGOV, VUG, QQQ, MTUM, UUP, GLD"
5,11110100001,-1.202969,"(0, 1, 2, 3, 5, 10)","SGOV, VUG, QQQ, MTUM, UUP, SPY"
6,11111010000,-1.202322,"(0, 1, 2, 3, 4, 6)","SGOV, VUG, QQQ, MTUM, FXE, BWX"
7,11111001000,-1.202322,"(0, 1, 2, 3, 4, 7)","SGOV, VUG, QQQ, MTUM, FXE, MUB"
8,11111000100,-1.202322,"(0, 1, 2, 3, 4, 8)","SGOV, VUG, QQQ, MTUM, FXE, DBMF"
9,11111000010,-1.202322,"(0, 1, 2, 3, 4, 9)","SGOV, VUG, QQQ, MTUM, FXE, GLD"
