index,bitstring,economic_energy,raw_solver_probability,conditional_probability,probability_is_near_uniform
0,11111100000,-4.067965,0.097656%,0.10%,False
1,11111000001,-3.991806,0.097656%,0.10%,False
2,11111001000,-3.984328,0.195312%,0.20%,False
3,11111000010,-3.979236,0.292969%,0.29%,False
4,11110110000,-3.944265,0.097656%,0.10%,False
5,11111000100,-3.923911,0.585938%,0.59%,False
6,11110101000,-3.895345,0.097656%,0.10%,False
7,11110100001,-3.890603,0.195312%,0.20%,False
8,11110100010,-3.884264,0.878906%,0.88%,False
9,11110011000,-3.852567,0.585938%,0.59%,False
10,11110010001,-3.838046,0.195312%,0.20%,False
11,11110010010,-3.837038,1.171875%,1.17%,False
12,11110100100,-3.833573,1.562500%,1.56%,False
13,11101110000,-3.802061,0.195312%,0.20%,False
14,11110001010,-3.790828,1.464844%,1.46%,False
15,11110010100,-3.790231,2.148438%,2.15%,False
16,11110000011,-3.770944,0.195312%,0.20%,False
17,11101101000,-3.75745,0.585938%,0.59%,False
18,11110001100,-3.742575,1.074219%,1.07%,False
19,11101100010,-3.735684,0.585938%,0.59%,False
20,11110000101,-3.730714,0.195312%,0.20%,False
21,11101100001,-3.729341,0.292969%,0.29%,False
22,11110000110,-3.728651,0.683594%,0.68%,False
23,11101011000,-3.701617,0.878906%,0.88%,False
24,11101100100,-3.694328,1.171875%,1.17%,False
25,11101010010,-3.675403,1.757812%,1.76%,False
26,11101010001,-3.663729,0.585938%,0.59%,False
27,11101010100,-3.637931,2.832031%,2.83%,False
28,11101001010,-3.633501,1.855469%,1.86%,False
29,11101001001,-3.623505,0.195312%,0.20%,False
