index,bitstring,cardinality,raw_solver_probability,reported_objective,economic_energy,status,selected_indices,selected_tickers,conditional_probability,probability_is_near_uniform
0,11111100000,6,0.000977,-4.067965,-4.067965,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 4, 5)","SGOV, BIL, SHY, QQQ, VUG, MTUM",0.000977,False
1,11111000001,6,0.000977,-3.991806,-3.991806,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 4, 10)","SGOV, BIL, SHY, QQQ, VUG, USMV",0.000977,False
2,11111001000,6,0.001953,-3.984328,-3.984328,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 4, 7)","SGOV, BIL, SHY, QQQ, VUG, EWC",0.001953,False
3,11111000010,6,0.00293,-3.979236,-3.979236,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 4, 9)","SGOV, BIL, SHY, QQQ, VUG, VGK",0.00293,False
4,11110110000,6,0.000977,-3.944265,-3.944265,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 5, 6)","SGOV, BIL, SHY, QQQ, MTUM, SPY",0.000977,False
5,11111000100,6,0.005859,-3.923911,-3.923911,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 4, 8)","SGOV, BIL, SHY, QQQ, VUG, EEM",0.005859,False
6,11110101000,6,0.000977,-3.895345,-3.895345,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 5, 7)","SGOV, BIL, SHY, QQQ, MTUM, EWC",0.000977,False
7,11110100001,6,0.001953,-3.890603,-3.890603,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 5, 10)","SGOV, BIL, SHY, QQQ, MTUM, USMV",0.001953,False
8,11110100010,6,0.008789,-3.884264,-3.884264,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 5, 9)","SGOV, BIL, SHY, QQQ, MTUM, VGK",0.008789,False
9,11110011000,6,0.005859,-3.852567,-3.852567,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 6, 7)","SGOV, BIL, SHY, QQQ, SPY, EWC",0.005859,False
10,11110010001,6,0.001953,-3.838046,-3.838046,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 6, 10)","SGOV, BIL, SHY, QQQ, SPY, USMV",0.001953,False
11,11110010010,6,0.011719,-3.837038,-3.837038,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 6, 9)","SGOV, BIL, SHY, QQQ, SPY, VGK",0.011719,False
12,11110100100,6,0.015625,-3.833573,-3.833573,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 5, 8)","SGOV, BIL, SHY, QQQ, MTUM, EEM",0.015625,False
13,11101110000,6,0.001953,-3.802061,-3.802061,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 4, 5, 6)","SGOV, BIL, SHY, VUG, MTUM, SPY",0.001953,False
14,11110001010,6,0.014648,-3.790828,-3.790828,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 7, 9)","SGOV, BIL, SHY, QQQ, EWC, VGK",0.014648,False
15,11110010100,6,0.021484,-3.790231,-3.790231,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 6, 8)","SGOV, BIL, SHY, QQQ, SPY, EEM",0.021484,False
16,11110000011,6,0.001953,-3.770944,-3.770944,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 9, 10)","SGOV, BIL, SHY, QQQ, VGK, USMV",0.001953,False
17,11101101000,6,0.005859,-3.75745,-3.75745,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 4, 5, 7)","SGOV, BIL, SHY, VUG, MTUM, EWC",0.005859,False
18,11110001100,6,0.010742,-3.742575,-3.742575,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 3, 7, 8)","SGOV, BIL, SHY, QQQ, EWC, EEM",0.010742,False
19,11101100010,6,0.005859,-3.735684,-3.735684,OptimizationResultStatus.SUCCESS,"(0, 1, 2, 4, 5, 9)","SGOV, BIL, SHY, VUG, MTUM, VGK",0.005859,False
