index,sample_rank,selection_source,bitstring,probability,qubo_energy,success,normalized_continuous_objective,expected_total_return,volatility,worst_scenario_loss,gross_turnover,total_trading_cost,selected_tickers,message
0,0,qaoa,11111100000,0.000977,-4.067965,True,-0.798818,0.054524,0.078668,0.12716,0.110552,1.5e-05,"QQQ, VUG, MTUM, SHY, BIL, SGOV",Optimization terminated successfully
15,1,exact_active_set_benchmark,11111010000,0.0,-4.035671,True,-0.79833,0.054541,0.079214,0.127736,0.10482,1.4e-05,"SPY, QQQ, VUG, SHY, BIL, SGOV",Optimization terminated successfully
2,2,qaoa,11111001000,0.001953,-3.984328,True,-0.798047,0.05466,0.079749,0.128278,0.098439,1.4e-05,"QQQ, VUG, EWC, SHY, BIL, SGOV",Optimization terminated successfully
1,1,qaoa,11111000001,0.000977,-3.991806,True,-0.797907,0.05464,0.080039,0.128537,0.096851,1.3e-05,"QQQ, VUG, USMV, SHY, BIL, SGOV",Optimization terminated successfully
3,3,qaoa,11111000010,0.00293,-3.979236,True,-0.797865,0.054677,0.080041,0.128685,0.09476,1.3e-05,"QQQ, VUG, VGK, SHY, BIL, SGOV",Optimization terminated successfully
5,5,qaoa,11111000100,0.005859,-3.923911,True,-0.797763,0.054714,0.080485,0.129323,0.088902,1.2e-05,"QQQ, VUG, EEM, SHY, BIL, SGOV",Optimization terminated successfully
4,4,qaoa,11110110000,0.000977,-3.944265,True,-0.796502,0.054586,0.07923,0.127758,0.1046,1.5e-05,"SPY, QQQ, MTUM, SHY, BIL, SGOV",Optimization terminated successfully
6,6,qaoa,11110101000,0.000977,-3.895345,True,-0.796172,0.054717,0.079801,0.128325,0.097822,1.5e-05,"QQQ, MTUM, EWC, SHY, BIL, SGOV",Optimization terminated successfully
7,7,qaoa,11110100001,0.001953,-3.890603,True,-0.796013,0.054688,0.080096,0.128555,0.096666,1.4e-05,"QQQ, USMV, MTUM, SHY, BIL, SGOV",Optimization terminated successfully
8,8,qaoa,11110100010,0.008789,-3.884264,True,-0.795957,0.054732,0.080084,0.128716,0.09428,1.4e-05,"QQQ, MTUM, VGK, SHY, BIL, SGOV",Optimization terminated successfully
12,12,qaoa,11110100100,0.015625,-3.833573,True,-0.795804,0.054764,0.080535,0.129363,0.088054,1.3e-05,"QQQ, MTUM, EEM, SHY, BIL, SGOV",Optimization terminated successfully
13,13,qaoa,11101110000,0.001953,-3.802061,True,-0.795452,0.054418,0.07921,0.127438,0.107779,1.5e-05,"SPY, VUG, MTUM, SHY, BIL, SGOV",Optimization terminated successfully
9,9,qaoa,11110011000,0.005859,-3.852567,True,-0.79508,0.054594,0.079867,0.128222,0.099147,1.4e-05,"SPY, QQQ, EWC, SHY, BIL, SGOV",Optimization terminated successfully
10,10,qaoa,11110010001,0.001953,-3.838046,True,-0.794961,0.054584,0.080152,0.128511,0.097109,1.4e-05,"SPY, QQQ, USMV, SHY, BIL, SGOV",Optimization terminated successfully
11,11,qaoa,11110010010,0.011719,-3.837038,True,-0.794931,0.054613,0.080171,0.128647,0.0953,1.4e-05,"SPY, QQQ, VGK, SHY, BIL, SGOV",Optimization terminated successfully
16,15,exact_active_set_benchmark,11110001001,0.0,-3.793514,True,-0.793678,0.054777,0.081023,0.128664,0.093235,1.5e-05,"QQQ, USMV, EWC, SHY, BIL, SGOV",Optimization terminated successfully
14,14,qaoa,11110001010,0.014648,-3.790828,True,-0.793473,0.054888,0.080798,0.128835,0.089111,1.7e-05,"QQQ, VGK, EWC, SHY, BIL, SGOV",Optimization terminated successfully
