index,seed,normalized_objective,expected_total_return,volatility,worst_scenario_loss,gross_turnover,total_trading_cost,active_candidates,executed_trades,best_measured_qubo_energy,exact_qubo_energy,qubo_energy_gap,exact_optimum_sampled,feasible_probability_mass,optimizer_time_seconds,exact_active_objective
0,20260804,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,4.82,-0.798818
1,20260805,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,3.63,-0.798818
2,20260807,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,3.99,-0.798818
3,20260808,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,3.05,-0.798818
4,20260810,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.43,-0.798818
5,20260811,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,3.08,-0.798818
6,20260812,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.78,-0.798818
7,20260814,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.95,-0.798818
8,20260815,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,2.54,-0.798818
9,20260816,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.46,-0.798818
10,20260817,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.55,-0.798818
11,20260818,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.44,-0.798818
12,20260821,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.88,-0.798818
13,20260822,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,2.94,-0.798818
14,20260823,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,6,4,-4.067965,-4.067965,0.0,True,100.00%,1.64,-0.798818
15,20260813,-0.79833,5.45%,7.92%,12.77%,10.48%,0.0014%,6,4,-4.035671,-4.067965,0.032294,False,100.00%,2.99,-0.798818
16,20260819,-0.79833,5.45%,7.92%,12.77%,10.48%,0.0014%,6,4,-4.035671,-4.067965,0.032294,False,100.00%,1.7,-0.798818
17,20260809,-0.798047,5.47%,7.97%,12.83%,9.84%,0.0014%,6,4,-3.991806,-4.067965,0.076159,False,100.00%,1.42,-0.798818
18,20260820,-0.798047,5.47%,7.97%,12.83%,9.84%,0.0014%,6,4,-3.991806,-4.067965,0.076159,False,100.00%,1.67,-0.798818
19,20260806,-0.798047,5.47%,7.97%,12.83%,9.84%,0.0014%,6,4,-3.984328,-4.067965,0.083637,False,100.00%,5.14,-0.798818
