index,selector,success,bitstring,qubo_energy,normalized_objective,expected_total_return,volatility,worst_scenario_loss,gross_turnover,total_trading_cost,selected_tickers
0,greedy,True,11111100000,-4.067965,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,"QQQ, VUG, MTUM, SHY, BIL, SGOV"
1,local_search,True,11111100000,-4.067965,-0.798818,5.45%,7.87%,12.72%,11.06%,0.0015%,"QQQ, VUG, MTUM, SHY, BIL, SGOV"
20,random_018,True,10011001110,6.470837,-0.798047,5.47%,7.97%,12.83%,9.84%,0.0014%,"QQQ, VUG, VGK, EWC, EEM, SGOV"
3,random_001,True,10011000111,5.90492,-0.797907,5.46%,8.00%,12.85%,9.69%,0.0013%,"QQQ, VUG, USMV, VGK, EEM, SGOV"
11,random_009,True,11011000110,-1.561373,-0.797865,5.47%,8.00%,12.87%,9.48%,0.0013%,"QQQ, VUG, VGK, EEM, BIL, SGOV"
2,random_000,True,10110110010,-0.852202,-0.796502,5.46%,7.92%,12.78%,10.46%,0.0015%,"SPY, QQQ, MTUM, VGK, SHY, SGOV"
14,random_012,True,10110101001,-0.909431,-0.796172,5.47%,7.98%,12.83%,9.78%,0.0015%,"QQQ, USMV, MTUM, EWC, SHY, SGOV"
6,random_004,True,11010010110,-1.749557,-0.794931,5.46%,8.02%,12.86%,9.53%,0.0014%,"SPY, QQQ, VGK, EEM, BIL, SGOV"
10,random_008,True,10101011001,-1.247258,-0.79409,5.44%,7.98%,12.79%,10.30%,0.0014%,"SPY, VUG, USMV, EWC, SHY, SGOV"
7,random_005,True,10010001111,5.51683,-0.793701,5.48%,8.09%,12.86%,9.33%,0.0015%,"QQQ, USMV, VGK, EWC, EEM, SGOV"
13,random_011,True,11110001100,-3.742575,-0.793128,5.49%,8.12%,12.94%,8.33%,0.0017%,"QQQ, EWC, EEM, SHY, BIL, SGOV"
17,random_015,True,10000111011,4.527152,-0.792227,5.45%,7.98%,12.79%,10.24%,0.0015%,"SPY, USMV, MTUM, VGK, EWC, SGOV"
16,random_014,True,01011010110,7.575866,-0.790605,5.41%,8.07%,12.94%,8.86%,0.0011%,"SPY, QQQ, VUG, VGK, EEM, BIL"
21,random_019,True,11000100111,-2.115538,-0.79048,5.46%,8.12%,12.85%,9.60%,0.0014%,"USMV, MTUM, VGK, EEM, BIL, SGOV"
18,random_016,True,11100010101,-3.351579,-0.789376,5.45%,8.15%,12.86%,9.62%,0.0013%,"SPY, USMV, EEM, SHY, BIL, SGOV"
8,random_006,True,01101101100,-0.045119,-0.787489,5.39%,8.09%,12.92%,9.02%,0.0011%,"VUG, MTUM, EWC, EEM, SHY, BIL"
19,random_017,True,01101011100,-0.169369,-0.786489,5.40%,8.14%,12.97%,8.48%,0.0010%,"SPY, VUG, EWC, EEM, SHY, BIL"
4,random_002,True,01101010101,-0.459752,-0.78648,5.40%,8.15%,12.98%,8.46%,0.0010%,"SPY, VUG, USMV, EEM, SHY, BIL"
9,random_007,True,00111011100,9.521028,-0.779694,5.44%,8.30%,13.32%,5.68%,0.0011%,"SPY, QQQ, VUG, EWC, EEM, SHY"
15,random_013,True,00111001110,9.402694,-0.779694,5.44%,8.30%,13.32%,5.68%,0.0011%,"QQQ, VUG, VGK, EWC, EEM, SHY"
12,random_010,True,00101111100,8.479156,-0.777522,5.43%,8.35%,13.35%,5.30%,0.0010%,"SPY, VUG, MTUM, EWC, EEM, SHY"
5,random_003,True,00101001111,7.666069,-0.777438,5.44%,8.40%,13.40%,4.79%,0.0009%,"VUG, USMV, VGK, EWC, EEM, SHY"
