index,candidate,category,constraint,value,lower,upper,policy_normalized_margin
0,Step 4 | 03_asset_caps,asset,weight_AGG,0.1,0.0,0.1,0.00%
1,Step 4 | 03_asset_caps,asset,weight_BWX,0.1,0.0,0.1,0.00%
2,Step 4 | 03_asset_caps,asset,weight_DBMF,0.1,0.0,0.1,0.00%
3,Step 4 | 03_asset_caps,asset,weight_MUB,0.1,0.0,0.1,0.00%
4,Step 4 | 03_asset_caps,asset,weight_SGOV,0.15,0.0,0.15,0.00%
5,Step 4 | 03_asset_caps,asset_class,class_Alternatives,0.1,0.0,0.1,-0.00%
6,Step 4 | 04_guardrails,asset,weight_BWX,0.1,0.0,0.1,0.00%
7,Step 4 | 04_guardrails,asset,weight_MUB,0.1,0.0,0.1,0.00%
8,Step 4 | 04_guardrails,asset,weight_SGOV,0.15,0.0,0.15,0.00%
9,Step 4 | 04_guardrails,asset_class,class_Cash,0.15,0.01,0.15,-0.00%
10,Step 4 | 04_guardrails,asset_class,class_Core Bonds,0.25,0.08,0.25,-0.00%
11,Step 4 | 04_guardrails,asset_class,class_Preferred,0.05,0.0,0.05,-0.00%
12,Step 4 | 04_guardrails,asset_class,class_US Equity,0.15,0.15,0.4,0.00%
13,Step 4 | 05_trading_costs,asset_class,class_Cash,0.15,0.01,0.15,0.00%
14,Step 4 | 05_trading_costs,asset_class,class_Developed Equity,0.05,0.05,0.2,-0.00%
15,Step 4 | 05_trading_costs,trading,gross_turnover,0.5,-inf,0.5,0.00%
16,Step 4 | 06_scenario_aware,asset_class,class_Cash,0.15,0.01,0.15,0.00%
17,Step 4 | 06_scenario_aware,asset_class,class_Developed Equity,0.05,0.05,0.2,-0.00%
18,Step 4 | 06_scenario_aware,asset_class,class_US Equity,0.15,0.15,0.4,0.00%
19,Step 4 | 06_scenario_aware,trading,gross_turnover,0.5,-inf,0.5,0.00%
