candidate,family,role,expected_growth,income_yield,expected_total_return,volatility,return_to_volatility,worst_scenario_loss,in_sample_maximum_drawdown,daily_var_95,daily_cvar_95,gross_turnover,total_trading_cost,effective_holdings,maximum_asset_weight,active_trade_count,hard_guardrail_status,hard_breach_count,warning_breach_count,minimum_hard_limit_headroom
Baseline | Current portfolio,Baseline,Incumbent benchmark,3.14%,2.40%,5.55%,8.82%,0.628,13.83%,8.06%,0.84%,1.12%,0.00%,0.0000%,40.14,5.00%,0,PASS,0,5,2.50%
Primary unrestricted classical,Step 5 / 5Q,Primary continuous benchmark,2.90%,2.59%,5.49%,7.86%,0.698,12.71%,7.11%,0.74%,0.99%,13.09%,0.0020%,33.73,7.97%,6,PASS,0,5,2.96%
Classical-target-recovery exact audit,Step 5 / 5Q,Diagnostic-only target-recovery audit,2.90%,2.59%,5.49%,7.86%,0.698,12.71%,7.11%,0.74%,0.99%,13.09%,0.0020%,33.73,7.97%,6,PASS,0,5,2.96%
Classical strict-warning reference,Step 5 / 5Q,Alternative risk-governance policy,2.82%,2.67%,5.48%,7.51%,0.731,12.17%,6.53%,0.72%,0.95%,23.88%,0.0056%,29.35,10.19%,10,PASS,0,0,4.00%
Independent Qiskit QAOA,Step 5 / 5Q,Quantum-assisted decision candidate,2.90%,2.56%,5.45%,7.87%,0.693,12.72%,7.13%,0.74%,1.00%,11.06%,0.0015%,35.48,6.96%,4,PASS,0,5,2.95%
Independent exact active-set benchmark,Step 5 / 5Q,Exact reduced-problem benchmark,2.90%,2.56%,5.45%,7.87%,0.693,12.72%,7.13%,0.74%,1.00%,11.06%,0.0015%,35.48,6.96%,4,PASS,0,5,2.95%
Classical subset baseline: greedy,Step 5 / 5Q,Classical active-set benchmark,2.90%,2.56%,5.45%,7.87%,0.693,12.72%,7.13%,0.74%,1.00%,11.06%,0.0015%,35.48,6.96%,4,PASS,0,5,2.95%
Classical subset baseline: local_search,Step 5 / 5Q,Classical active-set benchmark,2.90%,2.56%,5.45%,7.87%,0.693,12.72%,7.13%,0.74%,1.00%,11.06%,0.0015%,35.48,6.96%,4,PASS,0,5,2.95%
Step 4 | 05_trading_costs,Step 4,Investable Step 4 benchmark,2.64%,2.79%,5.44%,6.00%,0.906,10.48%,5.56%,0.57%,0.75%,50.00%,0.0198%,20.19,13.43%,26,PASS,0,2,2.79%
Step 4 | 06_scenario_aware,Step 4,Investable Step 4 benchmark,2.65%,2.73%,5.38%,5.94%,0.906,10.36%,5.24%,0.56%,0.74%,50.00%,0.0195%,20.7,13.43%,25,PASS,0,1,3.88%
Step 4 | 04_guardrails,Step 4,Constraint-ladder diagnostic,2.79%,3.01%,5.80%,5.97%,0.971,10.88%,5.42%,0.57%,0.75%,110.60%,0.0569%,13.1,15.00%,50,BREACH,1,2,2.34%
Step 4 | 03_asset_caps,Step 4,Constraint-ladder diagnostic,2.62%,3.21%,5.82%,5.93%,0.982,10.63%,5.70%,0.56%,0.75%,133.41%,0.0746%,10.99,15.00%,50,BREACH,4,2,2.33%
Step 4 | 02_mean_variance,Step 4,Constraint-ladder diagnostic,2.28%,3.45%,5.73%,3.81%,1.505,6.46%,3.07%,0.36%,0.48%,178.02%,0.0767%,2.16,64.95%,50,BREACH,8,1,3.93%
Step 4 | 01_minimum_variance,Step 4,Constraint-ladder diagnostic,0.57%,3.51%,4.08%,0.45%,9.132,0.05%,0.11%,0.03%,0.04%,190.59%,0.0533%,2.09,50.88%,49,BREACH,13,0,6.17%
