candidate,family,role,hard_guardrail_status,hard_breach_count,maximum_normalized_hard_violation,binding_guardrail_count,mathematical_active_bound_count,trivial_nonnegativity_bound_count,guardrail_headroom_min,guardrail_headroom_10pct,guardrail_headroom_median,warning_breach_count,maximum_warning_excess,total_warning_excess,minimum_warning_headroom,minimum_hard_limit_headroom
Classical strict-warning reference,Step 5 / 5Q,Alternative risk-governance policy,PASS,0,0.00%,0,10,7,2.06%,10.74%,40.83%,0,0.0000%,0.0000%,-0.0000%,4.00%
Step 4 | 06_scenario_aware,Step 4,Investable Step 4 benchmark,PASS,0,0.00%,4,19,12,-0.00%,9.60%,42.70%,1,0.1154%,0.1154%,-0.1154%,3.88%
Step 4 | 05_trading_costs,Step 4,Investable Step 4 benchmark,PASS,0,0.00%,3,20,14,-0.00%,9.87%,43.50%,2,1.2124%,1.5153%,-1.2124%,2.79%
Primary unrestricted classical,Step 5 / 5Q,Primary continuous benchmark,PASS,0,0.00%,0,8,5,9.75%,11.24%,40.00%,5,1.0433%,2.6529%,-1.0433%,2.96%
Classical-target-recovery exact audit,Step 5 / 5Q,Diagnostic-only target-recovery audit,PASS,0,0.00%,0,8,5,9.75%,11.24%,40.00%,5,1.0433%,2.6529%,-1.0433%,2.96%
Independent Qiskit QAOA,Step 5 / 5Q,Quantum-assisted decision candidate,PASS,0,0.00%,0,5,2,4.90%,10.44%,40.00%,5,1.0467%,2.6434%,-1.0467%,2.95%
Independent exact active-set benchmark,Step 5 / 5Q,Exact reduced-problem benchmark,PASS,0,0.00%,0,5,2,4.90%,10.44%,40.00%,5,1.0467%,2.6434%,-1.0467%,2.95%
Classical subset baseline: greedy,Step 5 / 5Q,Classical active-set benchmark,PASS,0,0.00%,0,5,2,4.90%,10.44%,40.00%,5,1.0467%,2.6434%,-1.0467%,2.95%
Classical subset baseline: local_search,Step 5 / 5Q,Classical active-set benchmark,PASS,0,0.00%,0,5,2,4.90%,10.44%,40.00%,5,1.0467%,2.6434%,-1.0467%,2.95%
Baseline | Current portfolio,Baseline,Incumbent benchmark,PASS,0,0.00%,0,2,0,4.90%,10.36%,37.50%,5,1.5000%,7.5000%,-1.5000%,2.50%
Step 4 | 04_guardrails,Step 4,Constraint-ladder diagnostic,BREACH,1,54.79%,7,43,33,-54.79%,1.56%,98.85%,2,1.6570%,2.6732%,-1.6570%,2.34%
Step 4 | 03_asset_caps,Step 4,Constraint-ladder diagnostic,BREACH,4,62.52%,6,49,40,-62.52%,0.00%,99.45%,2,1.6688%,2.3464%,-1.6688%,2.33%
Step 4 | 02_mean_variance,Step 4,Constraint-ladder diagnostic,BREACH,8,76.91%,0,52,49,-76.91%,-1.02%,99.57%,1,0.0692%,0.0692%,-0.0692%,3.93%
Step 4 | 01_minimum_variance,Step 4,Constraint-ladder diagnostic,BREACH,13,84.64%,0,49,46,-84.64%,-19.24%,99.69%,0,0.0000%,0.0000%,2.1678%,6.17%
