candidate,return_summary,risk_summary,implementation_summary,governance_summary,explainability_summary
Classical strict-warning reference,Model-implied expected total return 5.48% (2.8...,"Expected volatility 7.51%, worst modeled scena...","Gross turnover 23.88%, estimated trading cost ...",All hard guardrails pass; all scenario warning...,Continuous classical optimization with warning...
Primary unrestricted classical,Model-implied expected total return 5.49% (2.9...,"Expected volatility 7.86%, worst modeled scena...","Gross turnover 13.09%, estimated trading cost ...",All hard guardrails pass; 5 soft scenario warn...,Full continuous classical optimization Method ...
Independent Qiskit QAOA,Model-implied expected total return 5.45% (2.9...,"Expected volatility 7.87%, worst modeled scena...","Gross turnover 11.06%, estimated trading cost ...",All hard guardrails pass; 5 soft scenario warn...,QAOA active-set selection plus continuous refi...
Baseline | Current portfolio,Model-implied expected total return 5.55% (3.1...,"Expected volatility 8.82%, worst modeled scena...","Gross turnover 0.00%, estimated trading cost 0...",All hard guardrails pass; 5 soft scenario warn...,Current strategic allocation Method traceabili...
Step 4 | 05_trading_costs,Model-implied expected total return 5.44% (2.6...,"Expected volatility 6.00%, worst modeled scena...","Gross turnover 50.00%, estimated trading cost ...",All hard guardrails pass; 2 soft scenario warn...,Deterministic classical constraint ladder Meth...
Step 4 | 06_scenario_aware,Model-implied expected total return 5.38% (2.6...,"Expected volatility 5.94%, worst modeled scena...","Gross turnover 50.00%, estimated trading cost ...",All hard guardrails pass; 1 soft scenario warn...,Deterministic classical constraint ladder Meth...
Classical-target-recovery exact audit,Model-implied expected total return 5.49% (2.9...,"Expected volatility 7.86%, worst modeled scena...","Gross turnover 13.09%, estimated trading cost ...",All hard guardrails pass; 5 soft scenario warn...,Exact recovery of an already solved classical ...
Independent exact active-set benchmark,Model-implied expected total return 5.45% (2.9...,"Expected volatility 7.87%, worst modeled scena...","Gross turnover 11.06%, estimated trading cost ...",All hard guardrails pass; 5 soft scenario warn...,Exact active-set enumeration plus continuous r...
Classical subset baseline: greedy,Model-implied expected total return 5.45% (2.9...,"Expected volatility 7.87%, worst modeled scena...","Gross turnover 11.06%, estimated trading cost ...",All hard guardrails pass; 5 soft scenario warn...,Greedy active-set selection plus continuous re...
Classical subset baseline: local_search,Model-implied expected total return 5.45% (2.9...,"Expected volatility 7.87%, worst modeled scena...","Gross turnover 11.06%, estimated trading cost ...",All hard guardrails pass; 5 soft scenario warn...,Local-search active-set selection plus continu...
Step 4 | 04_guardrails,Model-implied expected total return 5.80% (2.7...,"Expected volatility 5.97%, worst modeled scena...","Gross turnover 110.60%, estimated trading cost...",1 hard guardrail breach(es); 2 soft scenario w...,Deterministic classical constraint ladder Meth...
Step 4 | 03_asset_caps,Model-implied expected total return 5.82% (2.6...,"Expected volatility 5.93%, worst modeled scena...","Gross turnover 133.41%, estimated trading cost...",4 hard guardrail breach(es); 2 soft scenario w...,Deterministic classical constraint ladder Meth...
Step 4 | 02_mean_variance,Model-implied expected total return 5.73% (2.2...,"Expected volatility 3.81%, worst modeled scena...","Gross turnover 178.02%, estimated trading cost...",8 hard guardrail breach(es); 1 soft scenario w...,Deterministic classical constraint ladder Meth...
Step 4 | 01_minimum_variance,Model-implied expected total return 4.08% (0.5...,"Expected volatility 0.45%, worst modeled scena...","Gross turnover 190.59%, estimated trading cost...",13 hard guardrail breach(es); all scenario war...,Deterministic classical constraint ladder Meth...
