candidate,family,role,expected_total_return,volatility,worst_scenario_loss,in_sample_maximum_drawdown,daily_cvar_95,gross_turnover,total_trading_cost,effective_holdings,active_trade_count,hard_guardrail_status,hard_breach_count,warning_breach_count,guardrail_headroom_10pct,method_traceability,duplicate_of,eligible_for_selection,forward_evidence_tier,relative_expected_return_score,relative_risk_control_score,relative_implementation_score,relative_guardrail_resilience_score,relative_explainability_score,relative_robust_mean_score,rank_best,rank_worst,top_1_frequency,top_3_frequency,selection_rank,pareto_comprehensive
Classical strict-warning reference,Step 5 / 5Q,Alternative risk-governance policy,5.48%,7.51%,12.17%,6.53%,0.95%,23.88%,0.0056%,29.35,10,PASS,0,0,10.74%,100%,,True,FINAL_EVIDENCE,85.7%,100.0%,0.0%,72.9%,65.0%,0.675,1.0,3.0,83%,100%,1.0,True
Primary unrestricted classical,Step 5 / 5Q,Primary continuous benchmark,5.49%,7.86%,12.71%,7.11%,0.99%,13.09%,0.0020%,33.73,6,PASS,0,5,11.24%,100%,,True,FINAL_EVIDENCE,100.0%,1.7%,83.8%,40.1%,65.3%,0.559,1.0,2.0,17%,100%,2.0,True
Independent Qiskit QAOA,Step 5 / 5Q,Quantum-assisted decision candidate,5.45%,7.87%,12.72%,7.13%,1.00%,11.06%,0.0015%,35.48,4,PASS,0,5,10.44%,65%,,True,FINAL_EVIDENCE,0.0%,0.0%,100.0%,5.1%,53.2%,0.274,2.0,3.0,0%,100%,3.0,True
Baseline | Current portfolio,Baseline,Incumbent benchmark,5.55%,8.82%,13.83%,8.06%,1.12%,0.00%,0.0000%,40.14,0,PASS,0,5,10.36%,100%,,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Step 4 | 05_trading_costs,Step 4,Investable Step 4 benchmark,5.44%,6.00%,10.48%,5.56%,0.75%,50.00%,0.0198%,20.19,26,PASS,0,2,9.87%,100%,,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Step 4 | 06_scenario_aware,Step 4,Investable Step 4 benchmark,5.38%,5.94%,10.36%,5.24%,0.74%,50.00%,0.0195%,20.7,25,PASS,0,1,9.60%,100%,,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Classical-target-recovery exact audit,Step 5 / 5Q,Diagnostic-only target-recovery audit,5.49%,7.86%,12.71%,7.11%,0.99%,13.09%,0.0020%,33.73,6,PASS,0,5,11.24%,80%,Primary unrestricted classical,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Independent exact active-set benchmark,Step 5 / 5Q,Exact reduced-problem benchmark,5.45%,7.87%,12.72%,7.13%,1.00%,11.06%,0.0015%,35.48,4,PASS,0,5,10.44%,95%,Independent Qiskit QAOA,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Classical subset baseline: greedy,Step 5 / 5Q,Classical active-set benchmark,5.45%,7.87%,12.72%,7.13%,1.00%,11.06%,0.0015%,35.48,4,PASS,0,5,10.44%,90%,Independent Qiskit QAOA,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Classical subset baseline: local_search,Step 5 / 5Q,Classical active-set benchmark,5.45%,7.87%,12.72%,7.13%,1.00%,11.06%,0.0015%,35.48,4,PASS,0,5,10.44%,90%,Independent Qiskit QAOA,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Step 4 | 04_guardrails,Step 4,Constraint-ladder diagnostic,5.80%,5.97%,10.88%,5.42%,0.75%,110.60%,0.0569%,13.1,50,BREACH,1,2,1.56%,100%,,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Step 4 | 03_asset_caps,Step 4,Constraint-ladder diagnostic,5.82%,5.93%,10.63%,5.70%,0.75%,133.41%,0.0746%,10.99,50,BREACH,4,2,0.00%,100%,,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Step 4 | 02_mean_variance,Step 4,Constraint-ladder diagnostic,5.73%,3.81%,6.46%,3.07%,0.48%,178.02%,0.0767%,2.16,50,BREACH,8,1,-1.02%,100%,,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
Step 4 | 01_minimum_variance,Step 4,Constraint-ladder diagnostic,4.08%,0.45%,0.05%,0.11%,0.04%,190.59%,0.0533%,2.09,49,BREACH,13,0,-19.24%,100%,,False,NOT_APPLICABLE,nan%,nan%,nan%,nan%,nan%,,,,nan%,nan%,,False
