asset_class,current,qaoa
US Equity,0.2499999999999997,0.1947237943698571
Core Bonds,0.1499999999999998,0.1499999999999998
Government Bonds,0.0999999999999999,0.0999999999999999
Developed Equity,0.0999999999999998,0.0999999999999998
Cash,0.029999999999999902,0.08527620563014271
Credit,0.0799999999999999,0.0799999999999999
Inflation Linked,0.05,0.05
Emerging Equity,0.049999999999999906,0.049999999999999906
Real Estate,0.0399999999999998,0.0399999999999998
Real-Asset Sectors,0.029999999999999902,0.029999999999999902
Alternatives,0.029999999999999902,0.029999999999999902
Precious Metals,0.029999999999999902,0.029999999999999902
Broad Commodities,0.029999999999999798,0.029999999999999798
Preferred,0.02,0.02
FX,0.009999999999999901,0.009999999999999901
